NAME,INTERNAL REFERANCE,CATEGORY,TYPE,BARCODE,UOM,PURCHASE UOM,SALE PRICE,COST PRICE,WEIGHT,VOLUME
NAN NO.2 BABY FOOD      6x400g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.1 BABY FOOD        400g,,All,Product,,Unit(s),Unit(s),,,,
NAN NO.2 BABY FOOD        400g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKY BEEF      12x400g,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN STEAK 10x1.75kg,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN STEAK  1x1.75kg,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY TINS           12x100g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK CHOC.    1x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE NESQUIK STRAW.   1x250g,,All,Product,,Unit(s),Unit(s),,,,
NESPRAY CANS              400g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE      500g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.1             400g,,All,Product,,Unit(s),Unit(s),,,,
LACTOGEN NO.2             400g,,All,Product,,Unit(s),Unit(s),,,,
PELARGON N01 BABY FOOD    400g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH/EPOL BEEF         6x820g,,All,Product,,Unit(s),Unit(s),,,,
BUTCH/EPOL BEEF         1x820g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SLABS MB KRACKLE 12x80g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE    1x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE HOT CHOCOLATE  2x6x500g,,All,Product,,Unit(s),Unit(s),,,,
PURINA VITAGEN LAMB  10x1.75kg,,All,Product,,Unit(s),Unit(s),,,,
KIT KAT CHUNKY             24s,,All,Product,,Unit(s),Unit(s),,,,
NESTLE CREAM           12x290g,,All,Product,,Unit(s),Unit(s),,,,
NIDO +3                6x900gr,,All,Product,,Unit(s),Unit(s),,,,
NIDO +1                 6x900g,,All,Product,,Unit(s),Unit(s),,,,
NIDO +1                 1x900g,,All,Product,,Unit(s),Unit(s),,,,
NIDO +3                   900g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER STILL   4x6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER STILL     6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER BL/BERY 4x6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER BL/BERRY  6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER LEM&LIME4x6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER LEM&LIME  6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER ST/BERY 4x6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER ST/BERRY  6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER NARTJIE 4x6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER NAARTJIE  6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER MARULA  4x6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTLE WATER MARULA    6x500ml,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 F/CER PRO 2x6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 F/CER PRO   6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 MAIZE     2x6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 MAIZE       6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 HONEY     2x6x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 HONEY       6x500g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA2 BL HONEY 2x6x500g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA2 BL HONEY   6x500g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY FLEXI BAG      12x500g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY FLEXI BAG       6x500g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY FLEXI BAG       1x500g,,All,Product,,Unit(s),Unit(s),,,,
MAGGI 2 MIN NOD CHEESE   5x73g,,All,Product,,Unit(s),Unit(s),,,,
MAGGI 2 MIN NOD CHICK    5x73g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA1 F/CER PRO   1x500g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SLAB CRUNCH      12x80g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE SLAB M/BAR DBL   12x80g,,All,Product,,Unit(s),Unit(s),,,,
CERELAC STA2 BL HONEY   1x500g,,All,Product,,Unit(s),Unit(s),,,,
HUSKY CHUNKY CHICKEN    6x400g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY MILD          4x6x100g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY MILD          2x6x250g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY MILD            6x100g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY MILD            6x250g,,All,Product,,Unit(s),Unit(s),,,,
RICOFFY MILD            1x250g,,All,Product,,Unit(s),Unit(s),,,,
NESTLE TREAT CARAMEL  4x6x360g,,All,Product,,Unit(s),Unit(s),,,,
BAR-ONE MINIS            1x24s,,All,Product,,Unit(s),Unit(s),,,,
NESTLE TREAT CARAMEL    6x360g,,All,Product,,Unit(s),Unit(s),,,,
NESTUM STA2 HONEY       1x500g,,All,Product,,Unit(s),Unit(s),,,,
